LEADID,Last Name,Company,Lead Owner Id,Lead Owner,Email,Mobile,Website,Industry,Lead Source,Lead Status,Created Time,CONVERTED
2033,Michael,Aluminum Company of America,1009,Thomas Mondrake,michael@samplecompany.com,(800) - 456 - 2033,,Consulting,Advertisement,Contacted,"23 May, 2012 00:00:00",
2034,Sue,Pittcon Industries,1002,Santa Cruz Clara,sue@samplecompany.com,(800) - 456 - 2034,,Manufacturing,Advertisement,Junk Lead,"23 May, 2012 00:00:00",
2035,Pedro,Amcol Corporation,1001,Rozario Diego,pedro@samplecompany.com,(800) - 456 - 2035,,Financial Services,Partner,Attempted to Contact,"23 May, 2012 00:00:00",
2036,Fredrique,J.A. Francis & Associates,1005,Steffi Graf,fredrique@samplecompany.com,(800) - 456 - 2036,,Consulting,Public Relations,Pre Qualified,"23 May, 2012 00:00:00",
2038,Alan,Patrick Metals,1008,Roger Terrence,alan@samplecompany.com,(800) - 456 - 2038,,Financial Services,Public Relations,Lost Lead,"23 May, 2012 00:00:00",
2040,Martyn,North Star Steel Company,1005,Steffi Graf,martyn@samplecompany.com,(800) - 456 - 2040,,Consulting,Sales Mail Alias,Pre Qualified,"23 May, 2012 00:00:00",
2042,Jean,Abtex Corporation,1006,Harold Pawlan,jean@samplecompany.com,(800) - 456 - 2042,,Communications,External Referral,Contacted,"23 May, 2012 00:00:00",
2044,Isabel,Carolina Gear & Machine Inc,1008,Roger Terrence,isabel@samplecompany.com,(800) - 456 - 2044,,Communications,Partner,Attempted to Contact,"23 May, 2012 00:00:00",
2045,Laurence,Gunver Manufacturing Co,1001,Rozario Diego,laurence@samplecompany.com,(800) - 456 - 2045,,Education,External Referral,Pre Qualified,"23 May, 2012 00:00:00",
2046,Ana,Homer Brackett Ltd,1011,Tina Thomas,ana@samplecompany.com,(800) - 456 - 2046,,Service Provider,Employee Referral,Contact in Future,"23 May, 2012 00:00:00",
2047,Rene,Mattco Forge Inc,1006,Harold Pawlan,rene@samplecompany.com,(800) - 456 - 2047,,Communications,Trade Show,Lost Lead,"23 May, 2012 00:00:00",
2048,Isabel,Peddinghaus Modern Technologies LLC,1010,Augustine Paul,isabel@samplecompany.com,(800) - 456 - 2048,,Financial Services,Partner,Contacted,"23 May, 2012 00:00:00",
